ID_sp_then,gamma_sp,keep_idx,m200b_sp_now,m200b_sp_then
2389025,0.8440351005500262,173,6418891837641.449,4285933538672.9995
2395803,1.3429069293173073,174,6293281715571.113,3309654951305.8325
2395801,1.7667476236046211,175,6331444440885.39,2718454895668.0376
2379186,0.5817087946427325,176,6209296500446.817,4700528383017.514
2390605,2.19432790303639,177,6139416868439.829,2148241230717.0015
2381816,0.830505025092983,178,6092656933107.818,4094529793504.6465
2394541,1.1849403260406632,179,5955277453149.534,3377827926068.2134
2395816,0.6520576782182875,180,6231832897225.184,4561414840562.621
2379040,0.6445091626914482,181,6036914209730.566,4434733976706.0205
2395530,0.350003849897488,182,5952405695201.06,5034446345139.053
2386812,1.0198464676373369,183,6260188971022.0,3842679726172.3735
2388917,1.3710521472276602,184,6406080131745.148,3323904453464.301
2381649,1.476264364954333,185,5918497084727.85,2920125357931.499
2377938,2.086852072176597,186,5796689084177.657,2135366778574.6194
2377878,0.46920195614805255,187,5746081503342.15,4590481067085.851
2391978,0.5530303658810937,188,5723179999265.614,4392400007002.5674
2393036,1.1088638425286301,189,5695322057981.515,3350153280696.0474
2390570,0.747624142658987,190,5799432599909.25,4055158498913.562
2380394,1.6820732426826202,191,5665025284510.255,2532905232750.0435
2377944,0.6180138734941639,192,5554975153779.572,4132769354628.241
2396801,1.1825451725876455,193,5494492823427.092,3120045402718.437
2379008,1.0031778519604202,194,5842794246596.606,3615193552772.7407
2382982,0.847177430278864,195,5487112621213.857,3658273597657.1533
2394550,0.40797950171137054,196,5436797870611.479,4472531234938.776
2393015,0.24544109380340268,197,5390621398302.754,4793239772924.666
2396794,1.0365903899899516,198,5390189227222.69,3282244217793.938
2384244,1.0639232526023057,199,5386786560066.791,3237547118562.4336
2390566,0.7120475256746241,200,5544135504234.161,3943210872369.481
2384256,0.3019650047633015,201,5396559224244.237,4670463541040.731
2379236,1.6460386726796192,202,5419202935821.209,2465139593476.177
2381836,1.990462243449453,203,5306248854642.686,2046975530185.8528
2386103,0.5403534358569125,204,5261457972687.079,4062610743683.8027
2389103,0.8486412836819526,205,5267359662032.552,3509304486411.356
2394555,2.124463865024253,206,5302279136726.015,1918395982990.4907
2380407,0.7417000661950985,207,5263961848273.501,3691188750044.19
2385641,0.3970781060820214,208,5189947987124.212,4291793545423.527
2381828,0.6299157412885281,209,5165130643195.967,3820910016085.6763
2389165,0.5382692701199068,210,5099689264902.419,3941631051801.2114
2391990,0.9262618343550986,211,5088650961208.523,3266622667347.5034
